,P60_model
35064,911112.5137354092
35065,896179.3402255835
35066,888139.8453466711
35067,917490.3204099932
35068,940707.2452561996
35069,1077843.5579667399
35070,1316227.1288780803
35071,1438622.4587486829
35072,1371143.2623883758
35073,1226138.9981599266
35074,1161840.024877842
35075,1137518.2484893599
35076,1135910.8909490206
35077,1114741.35209765
35078,1114741.35209765
35079,1114741.35209765
35080,1116046.4594077447
35081,1237201.7710189575
35082,1353660.5252034145
35083,1408687.967764917
35084,1381042.6662688064
35085,1257761.0727654276
35086,1117717.0910953842
35087,972759.3640214781
35088,860941.9186565586
35089,833637.4360322853
35090,814898.525721122
35091,844453.7834094334
35092,887490.8290500679
35093,969242.1381324378
35094,1149825.5494479556
35095,1285582.1600445816
35096,1223296.9557588615
35097,1156728.5361225437
35098,1150931.0821974128
35099,1140228.2977672638
35100,1126276.7852230594
35101,1118042.920165028
35102,1118042.920165028
35103,1114741.35209765
35104,1118756.5086856491
35105,1234187.380988793
35106,1357490.5786432675
35107,1399371.9330367793
35108,1370756.437575481
35109,1257473.6385418507
35110,1106155.8114653775
35111,935193.7768820473
35112,814136.520727065
35113,778705.585014308
35114,799797.1798634094
35115,809284.1744583698
35116,833807.2285028294
35117,947837.9476585154
35118,1182750.0443533522
35119,1413796.52793156
35120,1378321.3137285626
35121,1250876.589636616
35122,1160675.9508497552
35123,1160103.3891381791
35124,1150488.7521251123
35125,1126888.6321461478
35126,1129888.587220355
35127,1129888.587220355
35128,1134783.807705142
35129,1286492.4952783438
35130,1419420.9522197235
35131,1472161.6385578346
35132,1519901.3002197365
35133,1490159.3703834014
35134,1312757.2874749317
35135,1216234.7799278486
35136,1131730.071165483
35137,1096274.1012700866
35138,1229221.1857326187
35139,1301284.7661533693
35140,1382830.7804449191
35141,1501231.544820738
35142,1787291.1045136405
35143,1959537.6684620716
35144,1728482.1263430757
35145,1513640.0323585107
35146,1338517.4796750906
35147,1194526.1634284745
35148,1154177.9411560735
35149,1136189.533662715
35150,1128280.546056493
35151,1128280.546056493
35152,1133175.76654128
35153,1295927.9509241157
35154,1414435.411715547
35155,1541507.5135906662
35156,1564178.2003597973
35157,1572037.440364212
35158,1433067.0964654183
35159,1254481.2159242246
35160,1157549.0103611609
35161,1216287.3875912847
35162,1255040.1249282968
35163,1327103.7053490474
35164,1408649.7196405972
35165,1523595.8083835803
35166,1749715.0757157817
35167,1901949.0200477545
35168,1646269.4556670957
35169,1409198.6822369392
35170,1166385.489715984
35171,1154825.8954197122
35172,1139482.5236360917
35173,1120593.2566454902
35174,1117412.125287478
35175,1116320.3798746888
35176,1115767.447900074
35177,1235186.5423844531
35178,1353793.3460010525
35179,1345682.205058399
35180,1336168.0964777954
35181,1282187.3621301954
35182,1159867.3113154578
35183,1060515.1473397824
35184,1008609.7913619248
35185,969577.9450877727
35186,952661.7466793888
35187,950170.2404251281
35188,974795.3311173714
35189,1144442.6618567742
35190,1320839.6905267145
35191,1521648.005609327
35192,1396118.8241260238
35193,1337533.2713288043
35194,1185346.3751441098
35195,1169885.0334910888
35196,1167843.6073830489
35197,1145277.2920553142
35198,1142665.5346439157
35199,1141349.6935384853
35200,1139233.9340709737
35201,1298934.1311854105
35202,1374112.0231663748
35203,1411395.2186031388
35204,1438312.200706071
35205,1368815.2016409787
35206,1286852.325353462
35207,1233235.412502714
35208,1146426.314030622
35209,1134160.5005543865
35210,1252377.327059265
35211,1361660.8162345868
35212,1395992.3797099076
35213,1561187.4388583868
35214,1870013.6878205885
35215,1999207.9541318112
35216,1903043.2090961563
35217,1764746.6861488768
35218,1610041.0407297695
35219,1482313.0430565933
35220,1396045.9054816824
35221,1323479.7015795417
35222,1304547.0720417106
35223,1304547.0720417106
35224,1369979.5447679737
35225,1507963.3263919407
35226,1706697.7704421377
35227,1793586.3288826242
35228,1823285.8306565976
35229,1799544.7953364188
35230,1752191.4620012883
35231,1604397.1345861875
35232,1567698.3983882666
35233,1593863.2292192676
35234,1658103.9259312206
35235,1658103.9259312206
35236,1743902.5529208605
35237,1947386.5502495826
35238,2138309.2185056433
35239,2231044.606064543
35240,1949307.818665019
35241,1696827.7770930494
35242,1411920.4588107371
