,P70_model
35064,929690.48650536
35065,928501.5584827524
35066,910145.9897912515
35067,989785.7877791836
35068,1018218.460218533
35069,1132389.8072492701
35070,1343674.72982236
35071,1543467.823837359
35072,1445793.5766921043
35073,1297219.319631682
35074,1208715.668338373
35075,1175394.547247539
35076,1160089.8035009764
35077,1150091.2433955
35078,1150701.1374640027
35079,1150091.2433955
35080,1183655.4301181643
35081,1259744.5609430792
35082,1416202.8439222043
35083,1444606.5376684486
35084,1408858.657222974
35085,1342679.012052679
35086,1169008.3502141014
35087,1020800.375960141
35088,887834.2993618476
35089,886201.6171309808
35090,875429.9682574717
35091,913598.8272002202
35092,916025.5998480418
35093,1077255.6189836909
35094,1259853.0608649757
35095,1331278.650164734
35096,1280672.3637184692
35097,1214324.8176068035
35098,1184613.713338241
35099,1167969.6431118238
35100,1146332.7899009772
35101,1141595.5692262442
35102,1141595.5692262442
35103,1134868.7345159585
35104,1180670.1227144927
35105,1258258.772553862
35106,1404350.5993000867
35107,1439647.2738091846
35108,1397050.9109994327
35109,1309139.1717951507
35110,1136613.8039509868
35111,989582.1611778357
35112,869140.8082550204
35113,835086.4032722851
35114,835618.3478829886
35115,833296.8570416772
35116,857986.2300563969
35117,1061730.521389324
35118,1248053.1873106458
35119,1414706.68173679
35120,1425630.475139684
35121,1307910.8313187947
35122,1218611.9362567556
35123,1196928.1428558247
35124,1173889.7771769948
35125,1133333.9515145563
35126,1133453.3889129083
35127,1133453.3889129083
35128,1172640.2297312038
35129,1289724.2729325702
35130,1468180.4926266426
35131,1510341.308708478
35132,1570824.8125396327
35133,1508260.5008158071
35134,1395232.423313801
35135,1282027.8625468907
35136,1147414.5788561176
35137,1155825.503834005
35138,1285123.9155084626
35139,1334289.469559781
35140,1400702.4566934232
35141,1668483.7406768415
35142,1995268.4506932306
35143,2071032.1522760019
35144,1830578.8604327138
35145,1682326.5829135666
35146,1381500.0605555158
35147,1238409.371653368
35148,1183349.2454000663
35149,1139474.6917195255
35150,1132613.056350153
35151,1132613.056350153
35152,1166723.4568836577
35153,1319738.9096424934
35154,1471978.1640219407
35155,1590205.9270960467
35156,1601417.4597481086
35157,1585458.3093964926
35158,1498495.5463786523
35159,1358450.6515477651
35160,1189683.8149812804
35161,1251113.4764040194
35162,1292894.3367049256
35163,1325198.0276562443
35164,1391611.0147898863
35165,1594614.4265938369
35166,1876566.5790566595
35167,1971329.2665805097
35168,1705207.312992558
35169,1448134.886645144
35170,1209442.7694812636
35171,1175378.8371505379
35172,1152023.2028266792
35173,1136315.032820207
35174,1124933.4325553766
35175,1137303.6161137521
35176,1166539.638266277
35177,1245182.2757988754
35178,1356985.189534373
35179,1355326.0801323
35180,1354357.463812947
35181,1319638.2794550809
35182,1221009.5682694542
35183,1112368.8335726566
35184,1052806.3495350303
35185,1004260.5112064241
35186,962979.8965592461
35187,967750.9653624794
35188,993083.7737322804
35189,1134802.2108618924
35190,1284703.4961536468
35191,1526204.8625555884
35192,1412688.9623223029
35193,1380221.453510667
35194,1257345.7500363905
35195,1230651.7863195585
35196,1208440.8226422379
35197,1163146.7246367065
35198,1157770.877656551
35199,1159256.6660457682
35200,1198647.8962937421
35201,1302825.491648791
35202,1395183.112644705
35203,1412736.2670740762
35204,1460996.9606338036
35205,1421465.900433211
35206,1318196.226994097
35207,1242889.3054990114
35208,1160947.2891793195
35209,1144868.0194251186
35210,1286768.5707795043
35211,1355045.9879998749
35212,1438018.544883755
35213,1671959.5247375784
35214,2009537.5479581186
35215,2091917.9735808878
35216,1962523.3106657902
35217,1850078.3018075938
35218,1731585.7879456717
35219,1551226.581429009
35220,1447988.3865699978
35221,1357254.0013425495
35222,1306604.793691806
35223,1316687.8410671027
35224,1407653.3495426988
35225,1503708.4246629355
35226,1700866.9314599829
35227,1738091.0097754581
35228,1903377.88061887
35229,1907603.8499528358
35230,1786249.9660927483
35231,1647780.886981135
35232,1570645.8347919232
35233,1623102.7168517038
35234,1663311.0843650734
35235,1663311.0843650734
35236,1756027.8101376882
35237,2001473.981188758
35238,2200910.74671745
35239,2275625.946532307
35240,1992773.3477005544
35241,1763852.499968032
35242,1454553.5619494184
35243,1281298.3235312244
35244,1205549.249096976
35245,1143794.7440962123
35246,1138418.8971160569
35247,1138418.8971160569
35248,1184395.0343382724
35249,1334515.7902359476
35250,1540350.7101814135
35251,1634040.7381785389
35252,1674752.7317765744
35253,1637811.4893506246
35254,1520634.6212764953
35255,1402839.9728049817
35256,1192000.917902379
35257,1302116.3998522093
35258,1337606.0018707511
35259,1378686.180634592
35260,1464758.6015880206
35261,1669066.22094171
35262,1995850.9309580992
35263,1999089.636627548
35264,1752367.8839547047
35265,1452475.8191659614
35266,1218354.0839588686
35267,1178585.9523366776
35268,1151015.758268193
35269,1134026.8636278396
35270,1134026.8636278396
35271,1134026.8636278396
35272,1167793.4028925386
35273,1255992.1722783328
35274,1419834.1001611187
35275,1456795.9299770242
35276,1463229.5914408027
35277,1443337.5481389635
35278,1331221.2695182052
35279,1178201.6445874334
35280,1055534.0628646193
35281,1036372.8069965227
35282,1034571.3472518187
35283,1034042.6210447515
35284,1095995.3329638527
35285,1285692.8867434892
35286,1558711.3517957123
35287,1621442.893835867
35288,1553370.6869782384
35289,1357251.494010627
35290,1211153.0339991446
35291,1196931.152156368
35292,1161153.0387795563
35293,1138953.47521585
35294,1137672.7505819686
35295,1138953.47521585
35296,1166081.0103577394
35297,1261367.8815656346
35298,1421218.7779305
35299,1481656.8555960956
35300,1464614.2692101838
35301,1444722.2259083448
35302,1340259.1891125133
35303,1207436.4127669113
35304,1069940.8276917194
35305,1036372.8069965227
35306,1069480.986283238
35307,1107698.5032809593
35308,1179988.5111913895
35309,1345072.3353641606
35310,1808596.8597154736
35311,1879311.6582035332
35312,1706604.7393535024
35313,1454763.9883583293
35314,1231138.2084751965
35315,1195220.887638487
35316,1159442.7742616753
35317,1135962.4860640876
35318,1138007.5452944878
35319,1135962.4860640876
35320,1164251.3084415062
35321,1266347.8281231388
35322,1434666.4393920898
35323,1478487.4478534188
35324,1526621.1714212436
35325,1470120.6017959223
35326,1343950.2482544226
35327,1190930.6233236508
35328,1068314.0495230062
35329,1025364.2964721932
35330,1097218.7189636976
35331,1096689.99275663
35332,1122022.8011264312
35333,1266345.0099880933
35334,1537633.7427367677
35335,1763390.3063633495
35336,1647258.854729045
35337,1385203.1313954692
35338,1220642.2531512366
35339,1180874.121529045
35340,1153303.9274605606
35341,1136315.032820207
35342,1136315.032820207
35343,1136315.032820207
35344,1166130.2507304382
35345,1250258.7160836658
35346,1361846.743398171
35347,1368319.2916737709
35348,1380362.5680626214
35349,1343164.775901573
35350,1260701.4705054988
35351,1143187.7898733094
35352,1052806.3495350303
35353,998576.7955697246
35354,1001870.8581799387
35355,1019455.6531384061
35356,1043140.5068852075
35357,1149865.062274991
35358,1366079.4439070157
35359,1574912.2629351572
35360,1521698.1648521123
35361,1410539.4419993886
35362,1258001.8366223895
35363,1227570.3007937386
35364,1189866.8628220109
35365,1160798.4732148529
35366,1159517.7485809715
35367,1160798.4732148529
35368,1184088.8793311196
35369,1265586.7055858285
35370,1362804.8869573702
35371,1356070.898951124
35372,1351566.9048803663
35373,1310925.832740771
35374,1205431.545558879
35375,1142862.3375123641
35376,1044811.142775807
35377,1013581.8535676503
35378,1021865.1253350934
35379,1014581.992010237
35380,1039914.8003800381
35381,1201907.8303831546
35382,1508626.8804823884
35383,1732653.7118054202
35384,1721139.9551262127
35385,1577761.4503549163
35386,1479925.0180474997
35387,1346806.1582198052
35388,1284234.1254426483
35389,1196412.2406347701
35390,1184815.877067849
35391,1184815.877067849
35392,1227893.408776809
35393,1360861.793134281
35394,1466267.7097236938
35395,1534439.2883335736
35396,1517523.671939564
35397,1458616.3763600222
35398,1368926.4414344493
35399,1242024.234010893
35400,1112133.5465748745
35401,1099792.0867719674
35402,1098188.1206134136
35403,1175523.107918035
35404,1223958.1239163117
35405,1520284.8458168774
35406,1806706.5124192638
35407,1930830.160607323
35408,1818522.9923902722
35409,1722292.7112212516
35410,1465683.0909542614
35411,1351739.2807553285
35412,1259383.4790658795
35413,1176980.2328598339
35414,1155394.7318938042
35415,1155394.7318938042
35416,1197576.770460447
